ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID
Bischofsgrün;Landkreis Bayreuth;5,0032E+15;1,18369E+15;;0.0;very low;0;0;E;1175.41;80.0;94033.13;0.54;50590.85;0,2;True;True;2155
Hof;;5,03317E+15;1,19456E+16;;0.0;very low;0;0;A;1052.15;134.92;141961.39;0.65;91983.15;0,2;True;True;2156
Hof;;5,03412E+15;1,19593E+16;;0.0;very low;0;0;H;1052.15;105.58;111082.53;0.75;83311.9;0,2;True;True;2157
Hof;;5,03153E+15;1,19506E+16;;0.0;very low;0;0;E;1052.15;125.01;131524.97;0.5;65283.65;0,2;True;True;2158
Hof;;5,03432E+15;1,19207E+16;;0.0;very low;0;0;H;1052.15;95.99;100993.49;0.57;57889.54;0,2;True;True;2159
Hof;;5,03348E+16;1,19422E+16;;0.0;very low;0;0;F;1052.15;142.42;149851.93;0.69;103537.24;0,2;True;True;2160
Konradsreuth;Landkreis Hof;5,02794E+14;1,18457E+15;;0.0;very low;0;0;A+;726.57;80.0;58125.79;0.46;26776.67;0,3;True;True;2161
Schwarzenbach a.d.Saale;Landkreis Hof;5,01965E+15;1,19331E+16;;0.0;very low;0;0;D;726.57;133.84;97244.26;0.55;53901.58;0,2;True;True;2162
Schwarzenbach a.d.Saale;Landkreis Hof;5,02367E+16;1,19485E+15;;0.0;very low;0;0;A+;726.57;147.84;107417.6;0.59;63813.84;0,2;True;True;2163
Helmbrechts;Landkreis Hof;5,02534E+15;1,1651E+16;;0.0;very low;0;0;E;726.57;106.09;77081.89;0.48;37184.72;0,2;True;True;2164
Helmbrechts;Landkreis Hof;5,02547E+14;1,16101E+14;;0.0;very low;0;0;D;726.57;104.45;75888.98;0.61;46305.63;0,2;True;True;2165
Hof;;5,03139E+15;1,18954E+16;;0.0;very low;0;0;D;1052.15;144.36;151886.14;0.6;91460.93;0,2;True;True;2166
Hof;;5,03261E+14;1,19004E+16;;0.0;very low;0;0;D;1052.15;111.68;117503.69;0.58;68465.51;0,2;True;True;2167
Hof;;5,03178E+16;1,18963E+16;;0.0;very low;0;0;F;1052.15;128.49;135194.11;0.46;61941.2;0,2;True;True;2168
Hof;;5,03092E+15;1,18583E+16;;0.0;very low;0;0;C;1052.15;136.78;143910.7;0.69;99280.72;0,25;True;True;2169
Berg;Landkreis Hof;5,03715E+15;1,17861E+16;;0.0;very low;0;0;G;726.57;86.48;62831.7;0.66;41696.34;0,3;True;True;2170
Geroldsgrün;Landkreis Hof;5,0317E+16;1,15595E+16;;0.0;very low;0;0;C;726.57;111.25;80829.97;0.48;38992.53;0,2;True;True;2171
Pleystein;Landkreis Neustadt an der Waldnaab;4,96699E+15;1,24435E+16;;0.0;very low;0;0;G;1122.36;84.52;94858.44;0.74;70135.85;0,3;True;True;2172
Pressath;Landkreis Neustadt an der Waldnaab;4,97322E+15;1,19537E+16;;0.0;very low;0;0;C;1122.36;160.4;180026.99;0.73;130803.81;0,25;True;True;2173
Luhe-Wildenau;Landkreis Neustadt an der Waldnaab;4,95695E+15;1,21659E+16;;0.0;very low;0;0;C;1122.36;83.08;93245.54;0.55;51000.58;0,2;True;True;2174
Floß;Landkreis Neustadt an der Waldnaab;4,96877E+15;1,22782E+15;;0.0;very low;0;0;E;1122.36;114.76;128807.86;0.64;82204.92;0,25;True;True;2175
Gleiritsch;Landkreis Schwandorf;4,94997E+15;1,23083E+16;;0.0;very low;0;0;H;1429.74;83.42;119270.77;0.65;77181.04;0,3;True;True;2176
Tännesberg;Landkreis Neustadt an der Waldnaab;4,9559E+15;1,23404E+16;;0.0;very low;0;0;H;1122.36;80.0;89789.16;0.67;59863.49;0,2;True;True;2177
Grafenwöhr;Landkreis Neustadt an der Waldnaab;4,96813E+15;1,17956E+16;;0.0;very low;0;0;G;1122.36;83.38;93584.81;0.58;54043.84;0,2;True;True;2178
Grafenwöhr;Landkreis Neustadt an der Waldnaab;4,96796E+14;1,19237E+16;;0.0;very low;0;0;G;1122.36;96.18;107948.86;0.63;67829.73;0,2;True;True;2179
Neustadt an der Waldnaab;Landkreis Neustadt an der Waldnaab;4,97313E+15;1,21778E+16;;0.0;very low;0;0;C;1122.36;126.11;141543.09;0.5;70782.01;0,25;True;True;2180
Neustadt an der Waldnaab;Landkreis Neustadt an der Waldnaab;4,97415E+15;1,21578E+16;;0.0;very low;0;0;H;1122.36;80.0;89789.16;0.7;62580.82;0,25;True;True;2181
Weiherhammer;Landkreis Neustadt an der Waldnaab;4,96521E+15;1,19658E+15;;0.0;very low;0;0;A;1122.36;111.58;125233.02;0.55;69196.73;0,2;True;True;2182
Parkstein;Landkreis Neustadt an der Waldnaab;4,96974E+15;1,21071E+16;;0.0;very low;0;0;C;1122.36;152.82;171520.15;0.57;98547.54;0,2;True;True;2183
Erbendorf;Landkreis Tirschenreuth;4,98078E+16;1,20334E+16;;0.0;very low;0;0;C;910.17;131.76;119919.78;0.49;59174.1;0,25;True;True;2184
Schirmitz;Landkreis Neustadt an der Waldnaab;4,9644E+15;1,21866E+16;;0.0;very low;0;0;G;1122.36;131.86;147996.47;0.7;103373.75;0,3;True;True;2185
Bechtsrieth;Landkreis Neustadt an der Waldnaab;4,96595E+15;1,22092E+16;;0.0;very low;0;0;C;1122.36;80.0;89789.16;0.75;67341.87;0,2;True;True;2186
Irchenrieth;Landkreis Neustadt an der Waldnaab;4,96277E+15;1,22371E+16;;0.0;very low;0;0;B;1122.36;148.79;166991.77;0.68;113473.43;0,2;True;True;2187
Altenstadt an der Waldnaab;Landkreis Neustadt an der Waldnaab;4,97848E+15;1,21082E+16;;0.0;very low;0;0;E;1122.36;106.06;119035.23;0.63;74960.89;0,3;True;True;2188
Altenstadt an der Waldnaab;Landkreis Neustadt an der Waldnaab;4,973E+15;1,21607E+16;;0.0;very low;0;0;G;1122.36;129.52;145366.42;0.57;83312.78;0,2;True;True;2189
Kirchendemenreuth;Landkreis Neustadt an der Waldnaab;4,97352E+15;1,21247E+16;;0.0;very low;0;0;G;1122.36;153.64;172443.66;0.55;95571.48;0,2;True;True;2190
Kirchendemenreuth;Landkreis Neustadt an der Waldnaab;4,97187E+15;1,21238E+16;;0.0;very low;0;0;D;1122.36;101.72;114172.25;0.75;85629.19;0,25;True;True;2191
Marktredwitz;Landkreis Wunsiedel im Fichtelgebirge;5,0024E+15;1,20941E+16;;0.0;very low;0;0;F;826.43;117.89;97430.6;0.48;47021.3;0,2;True;True;2192
Marktredwitz;Landkreis Wunsiedel im Fichtelgebirge;5,00014E+15;1,21384E+16;;0.0;very low;0;0;H;826.43;153.93;127215.39;0.46;58511.74;0,2;True;True;2193
Marktredwitz;Landkreis Wunsiedel im Fichtelgebirge;4,99919E+15;1,21446E+16;;0.0;very low;0;0;C;826.43;80.0;66114.45;0.56;36788.54;0,2;True;True;2194
Marktredwitz;Landkreis Wunsiedel im Fichtelgebirge;4,99987E+15;1,20424E+16;;0.0;very low;0;0;C;826.43;102.0;84298.83;0.71;59763.06;0,2;True;True;2195
Marktredwitz;Landkreis Wunsiedel im Fichtelgebirge;5,00392E+15;1,20862E+16;;0.0;very low;0;0;C;826.43;153.22;126623.25;0.63;79678.94;0,2;True;True;2196
Schönwald;Landkreis Wunsiedel im Fichtelgebirge;5,02125E+16;1,20699E+14;;0.0;very low;0;0;C;826.43;114.2;94376.55;0.68;64518.72;0,3;True;True;2197
Arzberg;Landkreis Wunsiedel im Fichtelgebirge;5,00497E+15;1,21594E+15;;0.0;very low;0;0;G;826.43;143.79;118832.41;0.55;64922.74;0,3;True;True;2198
Selb;Landkreis Wunsiedel im Fichtelgebirge;5,01498E+15;1,21698E+16;;0.0;very low;0;0;E;826.43;118.26;97733.85;0.44;42818.27;0,3;True;True;2199
Selb;Landkreis Wunsiedel im Fichtelgebirge;5,01916E+15;1,19755E+15;;0.0;very low;0;0;C;826.43;154.62;127784.74;0.59;75675.91;0,2;True;True;2200
Selb;Landkreis Wunsiedel im Fichtelgebirge;5,01916E+15;1,19871E+16;;0.0;very low;0;0;D;826.43;92.84;76727.82;0.57;44035.96;0,2;True;True;2201
Selb;Landkreis Wunsiedel im Fichtelgebirge;5,0139E+14;1,21139E+15;;0.0;very low;0;0;G;826.43;94.79;78333.43;0.53;41641.95;0,2;True;True;2202
Wunsiedel;Landkreis Wunsiedel im Fichtelgebirge;4,99908E+15;1,20258E+16;;0.0;very low;0;0;C;826.43;136.95;113178.23;0.44;49905.21;0,2;True;True;2203
Wunsiedel;Landkreis Wunsiedel im Fichtelgebirge;5,00277E+16;1,19604E+16;;0.0;very low;0;0;G;826.43;145.42;120180.58;0.49;58759.47;0,2;True;True;2204
Wunsiedel;Landkreis Wunsiedel im Fichtelgebirge;5,00807E+16;1,20675E+16;;0.0;very low;0;0;D;826.43;161.03;133077.9;0.68;90241.56;0,3;True;True;2205
Fürth;;4,94521E+15;1,09847E+15;;0.0;very low;0;0;E;2393.48;80.0;191478.09;0.45;85251.57;0,2;True;True;2206
Fürth;;4,94654E+15;1,10077E+16;;0.0;very low;0;0;D;2393.48;80.0;191478.09;0.49;93719.83;0,25;True;True;2207
Fürth;;4,94672E+15;1,09951E+16;;0.0;very low;0;0;G;2393.48;88.84;212633.94;0.75;158891.12;0,3;True;True;2208
Fürth;;4,94408E+15;1,09886E+16;;0.0;very low;0;0;H;2393.48;119.86;286885.89;0.71;204262.15;0,25;True;True;2209
Fürth;;4,94618E+15;1,09905E+16;;0.0;very low;0;0;H;2393.48;121.86;291669.3;0.58;168703.85;0,25;True;True;2210
Fürth;;4,94683E+16;1,09897E+16;;0.0;very low;0;0;H;2393.48;139.28;333366.47;0.46;152141.96;0,3;True;True;2211
Fürth;;4,94602E+15;1,10091E+16;;0.0;very low;0;0;G;2393.48;126.94;303818.11;0.74;224821.92;0,3;True;True;2212
Fürth;;4,94418E+15;1,09869E+16;;0.0;very low;0;0;F;2393.48;123.64;295931.04;0.66;195158.79;0,25;True;True;2213
Fürth;;4,94742E+15;1,09954E+16;;0.0;very low;0;0;A+;2393.48;124.85;298815.77;0.48;144148.86;0,3;True;True;2214
Fürth;;4,94735E+15;1,09853E+16;;0.0;very low;0;0;D;2393.48;80.0;191478.09;0.68;129372.98;0,2;True;True;2215
Fürth;;4,94712E+15;1,10028E+16;;0.0;very low;0;0;D;2393.48;99.43;237992.71;0.51;120793.74;0,2;True;True;2216
Fürth;;4,94671E+16;1,1005E+15;;0.0;very low;0;0;H;2393.48;141.87;339553.74;0.62;210162.92;0,2;True;True;2217
Fürth;;4,94762E+16;1,0988E+16;;0.0;very low;0;0;D;2393.48;100.69;240998.11;0.53;128042.62;0,2;True;True;2218
Fürth;;4,94953E+16;1,09758E+16;;0.0;very low;0;0;C;2393.48;80.0;191478.09;0.58;111354.83;0,3;True;True;2219
Fürth;;4,94988E+15;1,09774E+15;;0.0;very low;0;0;C;2393.48;103.69;248179.24;0.53;131739.5;0,2;True;True;2220
Fürth;;4,94854E+15;1,09663E+16;;0.0;very low;0;0;G;2393.48;80.0;191478.09;0.61;116722.35;0,3;True;True;2221
Fürth;;4,9486E+15;1,09675E+16;;0.0;very low;0;0;G;2393.48;80.0;191478.09;0.51;96712.27;0,25;True;True;2222
Fürth;;4,9484E+15;1,09566E+16;;0.0;very low;0;0;A+;2393.48;85.05;203553.33;0.6;123091.79;0,2;True;True;2223
Fürth;;4,94886E+15;1,09824E+16;;0.0;very low;0;0;A;2393.48;159.67;382161.96;0.73;277515.19;0,2;True;True;2224
Fürth;;4,94955E+15;1,0928E+16;;0.0;very low;0;0;A;2393.48;136.5;326704.6;0.64;209280.87;0,25;True;True;2225
Fürth;;4,94961E+15;1,09463E+16;;0.0;very low;0;0;E;2393.48;113.33;271256.37;0.69;186515.42;0,25;True;True;2226
Fürth;;4,94631E+15;1,09385E+16;;0.0;very low;0;0;E;2393.48;107.99;258476.93;0.42;108855.3;0,2;True;True;2227
Fürth;;4,95101E+15;1,09597E+16;;0.0;very low;0;0;E;2393.48;163.46;391238.04;0.75;293428.53;0,2;True;True;2228
Fürth;;4,94581E+16;1,09653E+16;;0.0;very low;0;0;D;2393.48;100.21;239844.44;0.68;164237.87;0,2;True;True;2229
Fürth;;4,95038E+15;1,09239E+16;;0.0;very low;0;0;H;2393.48;80.0;191478.09;0.54;102665.29;0,2;True;True;2230
Pfreimd;Landkreis Schwandorf;4,95104E+15;1,22258E+16;;0.0;very low;0;0;E;1429.74;80.0;114379.24;0.54;62072.49;0,2;True;True;2231
Fensterbach;Landkreis Schwandorf;4,9401E+15;1,20273E+16;;0.0;very low;0;0;H;1429.74;80.0;114379.24;0.46;52326.35;0,25;True;True;2232
Eschlkam;Landkreis Cham;4,92689E+14;1,29142E+16;;0.0;very low;0;0;H;930.45;99.16;92260.17;0.63;57818.26;0,2;True;True;2233
Falkenstein;Landkreis Cham;4,90892E+15;1,25079E+16;;0.0;very low;0;0;F;930.45;80.0;74435.96;0.63;47083.19;0,25;True;True;2234
Arnbruck;Landkreis Regen;4,91251E+15;1,2991E+15;;0.0;very low;0;0;H;975.7;160.29;156389.82;0.52;80690.99;0,2;True;True;2235
Zell;Landkreis Cham;4,91437E+16;1,23731E+16;;0.0;very low;0;0;D;930.45;118.62;110373.5;0.62;68700.68;0,25;True;True;2236
Pemfling;Landkreis Cham;4,93042E+15;1,25867E+16;;0.0;very low;0;0;C;930.45;101.1;94069.91;0.47;43991.25;0,25;True;True;2237
Traitsching;Landkreis Cham;4,913E+15;1,26045E+16;;0.0;very low;0;0;H;930.45;80.0;74435.96;0.48;35847.66;0,2;True;True;2238
Runding;Landkreis Cham;4,92149E+16;1,27482E+16;;0.0;very low;0;0;H;930.45;80.0;74435.96;0.57;42276.17;0,2;True;True;2239
Sinzing;Landkreis Regensburg;4,89729E+15;1,19656E+16;;0.0;very low;0;0;A+;1896.79;80.0;151742.85;0.63;95381.68;0,2;True;True;2240
Sinzing;Landkreis Regensburg;4,89882E+15;1,20409E+16;;0.0;very low;0;0;F;1896.79;148.93;282490.04;0.66;187361.05;0,2;True;True;2241
Regensburg;;4,90461E+16;1,20995E+16;;0.0;very low;0;0;C;2470.97;154.97;382918.15;0.47;180309.29;0,2;True;True;2242
Regensburg;;4,9049E+15;1,21329E+16;;0.0;very low;0;0;F;2470.97;147.23;363807.22;0.75;272855.42;0,2;True;True;2243
Regensburg;;4,90616E+15;1,21255E+16;;0.0;very low;0;0;G;2470.97;130.17;321644.99;0.43;137171.62;0,2;True;True;2244
Regensburg;;4,90543E+15;1,21005E+16;;0.0;very low;0;0;F;2470.97;115.57;285569.75;0.74;211838.04;0,2;True;True;2245
Regensburg;;4,90567E+15;1,21212E+14;;0.0;very low;0;0;A+;2470.97;80.0;197677.62;0.52;103313.09;0,3;True;True;2246
Alteglofsheim;Landkreis Regensburg;4,89248E+15;1,21915E+15;;0.0;very low;0;0;C;1896.79;92.08;174663.68;0.47;81454.04;0,2;True;True;2247
Hagelstadt;Landkreis Regensburg;4,88775E+16;1,222E+14;;0.0;very low;0;0;G;1896.79;130.69;247886.89;0.43;106242.12;0,2;True;True;2248
Neutraubling;Landkreis Regensburg;4,89861E+16;1,21878E+16;;0.0;very low;0;0;C;1896.79;80.0;151742.85;0.56;85275.76;0,2;True;True;2249
Neutraubling;Landkreis Regensburg;4,89773E+15;1,21828E+16;;0.0;very low;0;0;A;1896.79;162.32;307894.87;0.49;151673.14;0,2;True;True;2250
Neutraubling;Landkreis Regensburg;4,89699E+15;1,22004E+14;;0.0;very low;0;0;A+;1896.79;104.35;197921.07;0.47;92413.9;0,3;True;True;2251
Mintraching;Landkreis Regensburg;4,89263E+15;1,22531E+16;;0.0;very low;0;0;H;1896.79;80.0;151742.85;0.74;112880.4;0,2;True;True;2252
Teublitz;Landkreis Schwandorf;4,92324E+16;1,20913E+15;;0.0;very low;0;0;C;1429.74;131.73;188339.81;0.75;141254.86;0,3;True;True;2253
Teublitz;Landkreis Schwandorf;4,92263E+15;1,2111E+16;;0.0;very low;0;0;C;1429.74;131.3;187718.3;0.54;102287.17;0,2;True;True;2254
Regensburg;;4,90088E+15;1,20897E+16;;0.0;very low;0;0;F;2470.97;80.0;197677.62;0.75;148258.21;0,2;True;True;2255
Regensburg;;4,90071E+15;1,20912E+16;;0.0;very low;0;0;F;2470.97;80.0;197677.62;0.64;126911.19;0,25;True;True;2256
Regensburg;;4,90119E+15;1,20513E+16;;0.0;very low;0;0;E;2470.97;80.0;197677.62;0.47;93141.65;0,2;True;True;2257
Regensburg;;4,90057E+16;1,20721E+16;;0.0;very low;0;0;F;2470.97;80.0;197677.62;0.66;129993.46;0,2;True;True;2258
Regensburg;;4,90025E+15;1,20455E+16;;0.0;very low;0;0;D;2470.97;85.52;211307.58;0.57;120082.74;0,25;True;True;2259
Regensburg;;4,90071E+16;1,20613E+16;;0.0;very low;0;0;F;2470.97;134.69;332812.89;0.56;187821.85;0,2;True;True;2260
Köfering;Landkreis Regensburg;4,89397E+14;1,21887E+16;;0.0;very low;0;0;A;1896.79;80.0;151742.85;0.7;105687.18;0,2;True;True;2261
Riekofen;Landkreis Regensburg;4,88855E+15;1,23601E+16;;0.0;very low;0;0;F;1896.79;83.52;158424.18;0.53;84208.35;0,3;True;True;2262
Sünching;Landkreis Regensburg;4,89203E+15;1,23417E+16;;0.0;very low;0;0;F;1896.79;132.63;251569.74;0.42;106378.28;0,3;True;True;2263
Lappersdorf;Landkreis Regensburg;4,91029E+15;1,20312E+15;;0.0;very low;0;0;H;1896.79;138.72;263119.1;0.75;197339.33;0,2;True;True;2264
Lappersdorf;Landkreis Regensburg;4,90882E+15;1,20857E+16;;0.0;very low;0;0;D;1896.79;80.0;151742.85;0.52;79292.45;0,2;True;True;2265
Lappersdorf;Landkreis Regensburg;4,90479E+16;1,20676E+16;;0.0;very low;0;0;H;1896.79;80.0;151742.85;0.6;91613.42;0,3;True;True;2266
Lappersdorf;Landkreis Regensburg;4,90473E+15;1,20825E+15;;0.0;very low;0;0;C;1896.79;141.71;268789.16;0.45;120003.74;0,3;True;True;2267
Wenzenbach;Landkreis Regensburg;4,90927E+15;1,21572E+16;;0.0;very low;0;0;A+;1896.79;130.35;247240.97;0.65;161734.74;0,3;True;True;2268
Wenzenbach;Landkreis Regensburg;4,90872E+16;1,21641E+16;;0.0;very low;0;0;A+;1896.79;80.0;151742.85;0.52;79278.26;0,2;True;True;2269
Holzheim am Forst;Landkreis Regensburg;4,91693E+15;1,1948E+16;;0.0;very low;0;0;E;1896.79;94.64;179507.2;0.68;122355.35;0,2;True;True;2270
Kallmünz;Landkreis Regensburg;4,91566E+15;1,19075E+16;;0.0;very low;0;0;D;1896.79;158.86;301322.03;0.43;128146.64;0,3;True;True;2271
Regensburg;;4,89811E+16;1,21417E+16;;0.0;very low;0;0;D;2470.97;123.95;306285.9;0.73;222127.83;0,25;True;True;2272
Regensburg;;4,9036E+15;1,21387E+16;;0.0;very low;0;0;B;2470.97;80.0;197677.62;0.59;117561.07;0,2;True;True;2273
Regensburg;;4,90398E+15;1,21749E+16;;0.0;very low;0;0;G;2470.97;96.22;237762.8;0.44;104084.29;0,25;True;True;2274
Regensburg;;4,90287E+15;1,21449E+15;;0.0;very low;0;0;B;2470.97;80.0;197677.62;0.71;139750.03;0,2;True;True;2275
Regensburg;;4,90208E+15;1,21278E+15;;0.0;very low;0;0;G;2470.97;120.59;297980.15;0.68;202493.08;0,2;True;True;2276
Wörth an der Donau;Landkreis Regensburg;4,90036E+15;1,23447E+16;;0.0;very low;0;0;C;1896.79;92.07;174637.47;0.62;107445.45;0,2;True;True;2277
Zeitlarn;Landkreis Regensburg;4,91E+15;1,2094E+16;;0.0;very low;0;0;C;1896.79;157.28;298334.01;0.44;132169.62;0,3;True;True;2278
Zeitlarn;Landkreis Regensburg;4,90962E+14;1,21169E+15;;0.0;very low;0;0;H;1896.79;130.78;248058.04;0.7;174665.29;0,2;True;True;2279
Thalmassing;Landkreis Regensburg;4,89011E+15;1,21325E+15;;0.0;very low;0;0;E;1896.79;162.68;308566.91;0.43;133267.88;0,3;True;True;2280
Nittenau;Landkreis Schwandorf;4,9189E+14;1,22049E+16;;0.0;very low;0;0;B;1429.74;88.75;126888.32;0.43;54474.4;0,25;True;True;2281
Nittenau;Landkreis Schwandorf;4,92216E+15;1,21587E+16;;0.0;very low;0;0;A+;1429.74;93.86;134188.38;0.74;99709.01;0,2;True;True;2282
Regensburg;;4,90132E+15;1,20372E+16;;0.0;very low;0;0;C;2470.97;160.91;397600.73;0.63;249790.09;0,3;True;True;2283
Regensburg;;4,90234E+15;1,2052E+16;;0.0;very low;0;0;C;2470.97;83.17;205512.5;0.52;106761.06;0,3;True;True;2284
Regensburg;;4,90194E+16;1,20666E+16;;0.0;very low;0;0;A;2470.97;156.64;387060.42;0.54;208017.04;0,2;True;True;2285
Regensburg;;4,90205E+15;1,20443E+16;;0.0;very low;0;0;E;2470.97;156.71;387223.89;0.69;265991.06;0,2;True;True;2286
Regensburg;;4,90136E+15;1,20671E+16;;0.0;very low;0;0;D;2470.97;97.1;239932.64;0.72;171695.76;0,2;True;True;2287
Regensburg;;4,90199E+15;1,20407E+16;;0.0;very low;0;0;G;2470.97;110.93;274102.18;0.68;186220.96;0,2;True;True;2288
Regensburg;;4,90153E+15;1,20516E+15;;0.0;very low;0;0;D;2470.97;109.71;271102.17;0.55;148106.13;0,2;True;True;2289
Regensburg;;4,9036E+15;1,20964E+16;;0.0;very low;0;0;D;2470.97;110.53;273123.82;0.63;170902.69;0,2;True;True;2290
Regensburg;;4,90348E+15;1,20857E+16;;0.0;very low;0;0;E;2470.97;80.0;197677.62;0.68;134113.13;0,2;True;True;2291
Regensburg;;4,90387E+15;1,20475E+15;;0.0;very low;0;0;C;2470.97;95.5;235986.76;0.66;155273.64;0,2;True;True;2292
Regensburg;;4,90219E+15;1,20972E+15;;0.0;very low;0;0;D;2470.97;80.0;197677.62;0.48;95558.39;0,2;True;True;2293
Pfatter;Landkreis Regensburg;4,89612E+15;1,23163E+16;;0.0;very low;0;0;C;1896.79;80.0;151742.85;0.61;92686.7;0,2;True;True;2294
Burglengenfeld;Landkreis Schwandorf;4,91922E+15;1,20228E+16;;0.0;very low;0;0;H;1429.74;148.92;212920.32;0.75;159374.55;0,25;True;True;2295
Burglengenfeld;Landkreis Schwandorf;4,9205E+15;1,19701E+15;;0.0;very low;0;0;C;1429.74;158.65;226831.82;0.45;102299.54;0,2;True;True;2296
Burglengenfeld;Landkreis Schwandorf;4,92072E+16;1,2005E+15;;0.0;very low;0;0;H;1429.74;137.66;196823.83;0.42;82384.19;0,2;True;True;2297
Hemau;Landkreis Regensburg;4,90186E+15;1,17404E+16;;0.0;very low;0;0;C;1896.79;80.0;151742.85;0.75;113543.09;0,2;True;True;2298
Hemau;Landkreis Regensburg;4,90598E+15;1,17545E+16;;0.0;very low;0;0;A+;1896.79;133.05;252374.07;0.75;188843.64;0,2;True;True;2299
Regensburg;;4,89971E+16;1,21261E+16;;0.0;very low;0;0;D;2470.97;93.73;231606.16;0.74;171281.92;0,25;True;True;2300
Regensburg;;4,89941E+15;1,20909E+15;;0.0;very low;0;0;G;2470.97;80.0;197677.62;0.44;87345.94;0,2;True;True;2301
Regensburg;;4,89994E+15;1,21175E+16;;0.0;very low;0;0;D;2470.97;149.38;369111.65;0.63;232047.9;0,3;True;True;2302
Regensburg;;4,90103E+16;1,21266E+16;;0.0;very low;0;0;F;2470.97;123.37;304851.57;0.69;210488.93;0,2;True;True;2303
Regensburg;;4,90011E+15;1,21101E+15;;0.0;very low;0;0;D;2470.97;110.59;273266.2;0.64;173940.4;0,25;True;True;2304
Regensburg;;4,89987E+15;1,2101E+15;;0.0;very low;0;0;D;2470.97;165.33;408517.56;0.67;273303.1;0,2;True;True;2305
Deuerling;Landkreis Regensburg;4,90392E+15;1,19016E+16;;0.0;very low;0;0;F;1896.79;135.99;257936.99;0.61;157172.78;0,2;True;True;2306
Pentling;Landkreis Regensburg;4,89672E+16;1,20878E+16;;0.0;very low;0;0;D;1896.79;167.78;318236.89;0.69;220051.52;0,2;True;True;2307
Pentling;Landkreis Regensburg;4,89403E+15;1,20702E+16;;0.0;very low;0;0;B;1896.79;87.49;165951.74;0.5;82717.37;0,25;True;True;2308
Barbing;Landkreis Regensburg;4,89986E+15;1,23354E+16;;0.0;very low;0;0;H;1896.79;152.11;288514.03;0.47;135730.86;0,3;True;True;2309
Schönberg;Landkreis Freyung-Grafenau;4,88162E+16;1,33504E+15;;0.0;very low;0;0;G;1103.64;128.03;141302.91;0.68;96260.32;0,2;True;True;2310
Thurmansbang;Landkreis Freyung-Grafenau;4,87584E+15;1,32822E+16;;0.0;very low;0;0;E;1103.64;80.0;88291.29;0.59;52457.68;0,3;True;True;2311
Neuschönau;Landkreis Freyung-Grafenau;4,89269E+15;1,35031E+14;;0.0;very low;0;0;F;1103.64;95.11;104971.49;0.63;65752.63;0,3;True;True;2312
Grafenau;Landkreis Freyung-Grafenau;4,87909E+15;1,33834E+16;;0.0;very low;0;0;D;1103.64;155.26;171351.9;0.62;106596.98;0,2;True;True;2313
Grafenau;Landkreis Freyung-Grafenau;4,88466E+15;1,34167E+16;;0.0;very low;0;0;E;1103.64;94.93;104766.37;0.75;78574.78;0,25;True;True;2314
Freyung;Landkreis Freyung-Grafenau;4,87961E+14;1,35504E+16;;0.0;very low;0;0;A;1103.64;80.0;88291.29;0.51;44998.51;0,2;True;True;2315
Freyung;Landkreis Freyung-Grafenau;4,88116E+16;1,35383E+16;;0.0;very low;0;0;H;1103.64;162.39;179224.03;0.48;85159.51;0,2;True;True;2316
Iggensbach;Landkreis Deggendorf;4,87103E+15;1,31591E+16;;0.0;very low;0;0;B;1499.95;117.74;176601.69;0.64;112225.11;0,3;True;True;2317
Otzing;Landkreis Deggendorf;4,87461E+15;1,28572E+15;;0.0;very low;0;0;D;1499.95;80.0;119996.26;0.45;53568.76;0,2;True;True;2318
Metten;Landkreis Deggendorf;4,88672E+15;1,29413E+16;;0.0;very low;0;0;G;1499.95;147.2;220798.78;0.51;111687.1;0,3;True;True;2319
Tiefenbach;Landkreis Passau;4,86426E+15;1,33292E+16;;0.0;very low;0;0;H;1418.3;101.25;143596.93;0.57;82277.87;0,2;True;True;2320
Tiefenbach;Landkreis Passau;4,8623E+13;1,34269E+16;;0.0;very low;0;0;C;1418.3;116.79;165643.2;0.62;103249.17;0,2;True;True;2321
Aidenbach;Landkreis Passau;4,86079E+15;1,30696E+16;;0.0;very low;0;0;G;1418.3;80.0;113463.87;0.69;78635.54;0,2;True;True;2322
Aidenbach;Landkreis Passau;4,86244E+15;1,30322E+16;;0.0;very low;0;0;G;1418.3;162.12;229929.19;0.47;107939.07;0,2;True;True;2323
Aldersbach;Landkreis Passau;4,8614E+15;1,30339E+16;;0.0;very low;0;0;A+;1418.3;80.0;113463.87;0.67;76159.03;0,3;True;True;2324
Aldersbach;Landkreis Passau;4,85635E+16;1,31042E+16;;0.0;very low;0;0;F;1418.3;108.24;153518.58;0.56;86041.01;0,2;True;True;2325
Beutelsbach;Landkreis Passau;4,86251E+16;1,30316E+15;;0.0;very low;0;0;G;1418.3;116.77;165609.78;0.75;124207.33;0,25;True;True;2326
Beutelsbach;Landkreis Passau;4,85479E+14;1,314E+16;;0.0;very low;0;0;H;1418.3;80.0;113463.87;0.75;85097.9;0,2;True;True;2327
Haarbach;Landkreis Passau;4,85427E+16;1,31435E+15;;0.0;very low;0;0;F;1418.3;87.13;123574.19;0.67;83193.52;0,25;True;True;2328
