ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Nördlingen;Landkreis Donau-Ries;4,88487E+15;1,04626E+14;;0;very low;C;2917;0,4462;94698,07;212234,66;72,76;0,04
Nördlingen;Landkreis Donau-Ries;4,88433E+15;1,0552E+16;;0;very low;A;2917;0,6484;135956,41;209664,25;71,88;0,04
Nördlingen;Landkreis Donau-Ries;4,88395E+15;1,04751E+16;;0;very low;H;2917;0,4486;83241,36;185556,72;63,61;0,04
Nördlingen;Landkreis Donau-Ries;4,8849E+15;1,0543E+16;;0;very low;H;2917;0,5089;258147,54;507253,88;173,9;0,04
Nördlingen;Landkreis Donau-Ries;4,88577E+15;1,04916E+15;;0;very low;C;2917;0,6076;208454,12;343082,25;117,61;0,04
Kühlenthal;Landkreis Augsburg;4,8575E+14;1,08504E+16;;0;very low;F;4262;0,1559;72228,77;463315,79;108,71;0,04
Westendorf;Landkreis Augsburg;4,85597E+15;1,08204E+16;;0;very low;E;4262;0,1992;74470,36;373833,03;87,71;0,04
Wallerstein;Landkreis Donau-Ries;4,888E+15;1,04714E+16;;0;very low;F;2917;0,4918;102219,4;207868,44;71,26;0,04
Fremdingen;Landkreis Donau-Ries;4,89779E+15;1,05098E+16;;0;very low;A;2917;0,0916;92432,05;1008537,63;345,74;0,04
Weichering;Landkreis Neuburg-Schrobenhausen;4,8721E+16;1,13211E+16;;0;very low;H;3578;0,4745;101873,77;214680;60;0,04
Möttingen;Landkreis Donau-Ries;4,87975E+15;1,05472E+16;;0;very low;F;2917;0,3536;63160,24;178623,39;61,24;0,04
Elchingen;Landkreis Neu-Ulm;4,84347E+15;9,9515E+15;;0;very low;C;3683;0,1655;78366,08;473438,86;128,55;0,04
Elchingen;Landkreis Neu-Ulm;4,83852E+15;9,9303E+15;;0;very low;A;3683;0,6904;152559,15;220980;60;0,04
Elchingen;Landkreis Neu-Ulm;4,84257E+16;9,93616E+15;;0;very low;C;3683;0,2627;68455;260559,89;70,75;0,04
Elchingen;Landkreis Neu-Ulm;4,8442E+14;1,00077E+16;;0;very low;E;3683;0,6318;139620,59;220980;60;0,04
Weißenhorn;Landkreis Neu-Ulm;4,83207E+16;1,02234E+16;;0;very low;D;3683;0,4931;150516,84;305224,15;82,87;0,04
Weißenhorn;Landkreis Neu-Ulm;4,83263E+15;1,02178E+16;;0;very low;A;3683;0,4384;96880,82;220980;60;0,04
Weißenhorn;Landkreis Neu-Ulm;4,83301E+15;1,01562E+15;;0;very low;D;3683;0,4346;96037,96;220980;60;0,04
Weißenhorn;Landkreis Neu-Ulm;4,82837E+16;1,01613E+16;;0;very low;G;3683;0,5329;117751,59;220980;60;0,04
Altenstadt;Landkreis Neu-Ulm;4,8156E+15;1,01068E+15;;0;very low;G;3683;0,5676;168850,68;297486,09;80,77;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83342E+15;1,00963E+16;;0;very low;A+;3683;0,4838;217176,29;448896,95;121,88;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,84146E+15;1,0064E+16;;0;very low;C;3683;0,2616;258725,26;989074,4;268,55;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83428E+14;1,00868E+16;;0;very low;A+;3683;0,6498;143589,17;220980;60;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,84145E+15;1,00175E+15;;0;very low;F;3683;0,3159;128363,75;406387,81;110,34;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83546E+14;1,00876E+15;;0;very low;G;3683;0,5085;198362,08;390082,68;105,91;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83775E+14;1,00502E+16;;0;very low;E;3683;0,4365;96455,54;220980;60;0,04
Buch;Landkreis Neu-Ulm;4,82433E+15;1,0237E+16;;0;very low;A+;3683;0,6444;143535,16;222746,41;60,48;0,04
Vöhringen;Landkreis Neu-Ulm;4,82902E+16;1,00911E+16;;0;very low;H;3683;0,6375;140878,8;220980;60;0,04
Vöhringen;Landkreis Neu-Ulm;4,82951E+15;1,00808E+16;;0;very low;E;3683;0,5678;125471,29;220980;60;0,04
Vöhringen;Landkreis Neu-Ulm;4,82824E+15;1,01077E+14;;0;very low;C;3683;0,4531;114547,24;252793,06;68,64;0,04
Vöhringen;Landkreis Neu-Ulm;4,82635E+16;1,00779E+16;;0;very low;A+;3683;0,5084;112341;220980;60;0,04
Pfaffenhofen an der Roth;Landkreis Neu-Ulm;4,83407E+15;1,02024E+16;;0;very low;H;3683;0,5875;129816,07;220980;60;0,04
Pfaffenhofen an der Roth;Landkreis Neu-Ulm;4,8352E+15;1,01414E+16;;0;very low;D;3683;0,5572;123120,43;220980;60;0,04
Senden;Landkreis Neu-Ulm;4,83175E+15;1,00733E+16;;0;very low;D;3683;0,1578;62404,34;395358,28;107,35;0,04
Senden;Landkreis Neu-Ulm;4,83139E+15;1,00445E+16;;0;very low;F;3683;0,2041;75993,96;372296,72;101,09;0,04
Senden;Landkreis Neu-Ulm;4,83256E+16;1,00591E+15;;0;very low;B;3683;0,5955;151916,3;255086,41;69,26;0,04
Senden;Landkreis Neu-Ulm;4,83287E+15;1,00208E+16;HQ 100;0,001;low;D;3683;0,4484;99077,15;220980;60;0,1
Senden;Landkreis Neu-Ulm;4,83295E+15;1,0103E+16;;0;very low;F;3683;0,3984;88035,24;220980;60;0,04
Senden;Landkreis Neu-Ulm;4,8322E+15;1,01242E+16;;0;very low;D;3683;0,5976;197893,78;331168,99;89,92;0,04
Elchingen;Landkreis Neu-Ulm;4,84313E+16;1,00456E+16;;0;very low;C;3683;0,3868;95432,32;246728,39;66,99;0,04
Elchingen;Landkreis Neu-Ulm;4,84556E+15;1,01243E+15;;0;very low;C;3683;0,6349;156433,07;246389,69;66,9;0,04
Roggenburg;Landkreis Neu-Ulm;4,82779E+15;1,02056E+16;;0;very low;B;3683;0,1806;136618,56;756636,99;205,44;0,04
Bellenberg;Landkreis Neu-Ulm;4,82613E+15;1,00894E+16;;0;very low;C;3683;0,6568;147882,53;225147,69;61,13;0,04
Illertissen;Landkreis Neu-Ulm;4,82613E+15;1,00739E+16;HQ 100;0,001;low;E;3683;0,4725;104404,03;220980;60;0,1
Illertissen;Landkreis Neu-Ulm;4,82075E+16;1,01344E+16;;0;very low;E;3683;0,6487;143342,12;220980;60;0,04
Illertissen;Landkreis Neu-Ulm;4,8223E+16;1,01445E+15;;0;very low;H;3683;0,5253;116089,8;220980;60;0,04
Illertissen;Landkreis Neu-Ulm;4,82377E+15;1,01125E+14;;0;very low;C;3683;0,0877;132214,33;1507459,52;409,3;0,04
Illertissen;Landkreis Neu-Ulm;4,82628E+16;1,00721E+15;HQ 100;0,001;low;F;3683;0,0767;91882,92;1198488,16;325,41;0,1
Nersingen;Landkreis Neu-Ulm;4,84207E+15;1,01631E+16;;0;very low;E;3683;0,705;155789,13;220980;60;0,04
Nersingen;Landkreis Neu-Ulm;4,84303E+15;1,0161E+16;;0;very low;C;3683;0,3685;81436,18;220980;60;0,04
Nersingen;Landkreis Neu-Ulm;4,84247E+15;1,01117E+15;;0;very low;G;3683;0,4845;121294,41;250337,14;67,97;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83873E+15;1,00377E+16;;0;very low;B;3683;0,3298;179537,29;544312;147,79;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83948E+15;1,00186E+14;;0;very low;G;3683;0,4641;142273,68;306558,75;83,24;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,8366E+15;1,00297E+16;;0;very low;G;3683;0,1056;112834,92;1068815,54;290,2;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83917E+15;1,00037E+14;;0;very low;H;3683;0,0739;55275,24;747846,97;203,05;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83903E+15;1,00147E+15;;0;very low;F;3683;0,3234;119504,34;369557,89;100,34;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83869E+15;9,98918E+14;HQ 100;0,001;low;C;3683;0,1998;71378,11;357271,7;97,01;0,1
Neu-Ulm;Landkreis Neu-Ulm;4,83835E+16;1,00188E+16;;0;very low;H;3683;0,409;90382,32;220980;60;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83665E+16;1,00111E+16;;0;very low;C;3683;0,1353;65968,98;487560,97;132,38;0,04
Neu-Ulm;Landkreis Neu-Ulm;4,83874E+15;1,00273E+16;;0;very low;D;3683;0,5916;203589;344122,08;93,44;0,04
Burgau;Landkreis Günzburg;4,84279E+15;1,04047E+16;;0;very low;D;3197;0,6552;125680,25;191820;60;0,04
Burgau;Landkreis Günzburg;4,8425E+15;1,03341E+16;;0;very low;H;3197;0,0737;88772,07;1203992,77;376,6;0,04
Burgau;Landkreis Günzburg;4,84414E+15;1,03849E+14;;0;very low;C;3197;0,5001;150455,31;300841,06;94,1;0,04
Burtenbach;Landkreis Günzburg;4,83459E+15;1,04965E+16;;0;very low;E;3197;0,6838;131170,96;191820;60;0,04
Kammeltal;Landkreis Günzburg;4,8392E+15;1,03899E+15;;0;very low;H;3197;0,2252;166276,37;738330,49;230,94;0,04
Ichenhausen;Landkreis Günzburg;4,83864E+15;1,02904E+16;;0;very low;G;3197;0,734;190472,96;259498,13;81,17;0,04
Ichenhausen;Landkreis Günzburg;4,83885E+15;1,03399E+16;;0;very low;F;3197;0,5292;101513,11;191820;60;0,04
Offingen;Landkreis Günzburg;4,84787E+15;1,03941E+16;;0;very low;E;3197;0,4248;81479,43;191820;60;0,04
Bibertal;Landkreis Günzburg;4,83943E+15;1,02275E+16;;0;very low;D;3197;0,5902;113216;191820;60;0,04
Günzburg;Landkreis Günzburg;4,84405E+15;1,03118E+16;;0;very low;H;3197;0,4537;88188,57;194389,75;60,8;0,04
Günzburg;Landkreis Günzburg;4,84371E+14;1,02779E+16;;0;very low;H;3197;0,7269;160536,18;220859,59;69,08;0,04
Günzburg;Landkreis Günzburg;4,84484E+15;1,02446E+16;;0;very low;D;3197;0,2561;88811,73;346776,39;108,47;0,04
Günzburg;Landkreis Günzburg;4,84285E+13;1,02678E+16;;0;very low;A+;3197;0,2547;236025,63;926630,33;289,84;0,04
Günzburg;Landkreis Günzburg;4,84817E+15;1,02903E+16;;0;very low;E;3197;0,695;133313,46;191820;60;0,04
Jettingen-Scheppach;Landkreis Günzburg;4,84054E+15;1,04465E+16;;0;very low;C;3197;0,652;129469,29;198565,45;62,11;0,04
Jettingen-Scheppach;Landkreis Günzburg;4,83941E+15;1,05402E+16;;0;very low;G;3197;0,6175;123557,78;200077,47;62,58;0,04
Haldenwang;Landkreis Günzburg;4,84453E+15;1,04216E+16;;0;very low;E;3197;0,3271;86847,32;265501,66;83,05;0,04
Syrgenstein;Landkreis Dillingen an der Donau;4,86538E+15;1,02946E+16;;0;very low;C;3123;0,5385;100898,26;187380;60;0,04
Mödingen;Landkreis Dillingen an der Donau;4,86162E+15;1,04365E+14;;0;very low;E;3123;0,4596;155135,99;337549,37;108,08;0,04
Wittislingen;Landkreis Dillingen an der Donau;4,86355E+15;1,0423E+16;;0;very low;C;3123;0,1039;137518,07;1324177,47;424,01;0,04
Höchstädt an der Donau;Landkreis Dillingen an der Donau;4,85963E+16;1,05929E+15;;0;very low;D;3123;0,4738;176216,3;371918,86;119,09;0,04
Höchstädt an der Donau;Landkreis Dillingen an der Donau;4,86385E+15;1,05725E+16;;0;very low;C;3123;0,488;213290,32;437084,24;139,96;0,04
Bachhagel;Landkreis Dillingen an der Donau;4,86457E+15;1,0334E+16;;0;very low;E;3123;0,5077;108322,79;213353,89;68,32;0,04
Gundelfingen a.d.Donau;Landkreis Dillingen an der Donau;4,85449E+15;1,03669E+15;;0;very low;H;3123;0,4454;83455,7;187380;60;0,04
Gundelfingen a.d.Donau;Landkreis Dillingen an der Donau;4,85356E+15;1,03666E+16;;0;very low;A+;3123;0,4862;91098,2;187380;60;0,04
Lauingen (Donau);Landkreis Dillingen an der Donau;4,85687E+15;1,04698E+15;;0;very low;H;3123;0,1821;169943,22;933337,44;298,86;0,04
Lauingen (Donau);Landkreis Dillingen an der Donau;4,86021E+15;1,03944E+16;;0;very low;F;3123;0,7328;137305,84;187380;60;0,04
Lauingen (Donau);Landkreis Dillingen an der Donau;4,85277E+15;1,04162E+16;;0;very low;G;3123;0,5698;230753;404993,16;129,68;0,04
Holzheim;Landkreis Dillingen an der Donau;4,85314E+15;1,05289E+16;;0;very low;C;3123;0,679;175683,88;258748,99;82,85;0,04
Kammerstein;Landkreis Roth;4,92991E+15;1,10814E+16;;0;very low;G;3631;0,6877;149825,9;217860;60;0,04
Kammerstein;Landkreis Roth;4,93311E+15;1,09909E+16;;0;very low;C;3631;0,5133;111834,46;217860;60;0,04
Kammerstein;Landkreis Roth;4,93597E+15;1,09826E+16;;0;very low;E;3631;0,7226;157434,16;217860;60;0,04
Kammerstein;Landkreis Roth;4,93712E+15;1,09956E+16;;0;very low;A+;3631;0,1445;63746,51;441141,04;121,49;0,04
Kammerstein;Landkreis Roth;4,92792E+16;1,10517E+16;;0;very low;D;3631;0,1207;155249,72;1286034,88;354,18;0,04
Kammerstein;Landkreis Roth;4,93167E+15;1,10676E+16;;0;very low;C;3631;0,4111;89557,43;217860;60;0,04
Kammerstein;Landkreis Roth;4,93278E+15;1,10032E+16;;0;very low;G;3631;0,4458;148065,06;332106,22;91,46;0,04
Kammerstein;Landkreis Roth;4,93195E+15;1,10486E+16;;0;very low;D;3631;0,2676;142039,96;530843,47;146,2;0,04
Kammerstein;Landkreis Roth;4,93523E+16;1,10351E+16;;0;very low;B;3631;0,1064;89555,98;841590,29;231,78;0,04
Kammerstein;Landkreis Roth;4,93136E+15;1,1082E+16;;0;very low;A;3631;0,4721;102842,7;217860;60;0,04
Kammerstein;Landkreis Roth;4,92947E+15;1,1015E+14;;0;very low;G;3631;0,3109;67740,98;217860;60;0,04
Kammerstein;Landkreis Roth;4,93694E+15;1,0994E+16;;0;very low;E;3631;0,3329;77461,36;232686,69;64,08;0,04
Kammerstein;Landkreis Roth;4,93079E+15;1,10291E+16;;0;very low;A;3631;0,523;195309,89;373444,6;102,85;0,04
Kammerstein;Landkreis Roth;4,93154E+15;1,09451E+16;;0;very low;E;3631;0,5921;202773,12;342482,88;94,32;0,04
Kammerstein;Landkreis Roth;4,92886E+15;1,10705E+16;;0;very low;F;3631;0,2262;83065,22;367230,5;101,14;0,04
Kammerstein;Landkreis Roth;4,93612E+15;1,10389E+16;;0;very low;E;3631;0,4745;149757,87;315644,97;86,93;0,04
Kammerstein;Landkreis Roth;4,93639E+15;1,10251E+16;;0;very low;C;3631;0,3363;73265,95;217860;60;0,04
Kammerstein;Landkreis Roth;4,93413E+15;1,10357E+15;;0;very low;H;3631;0,3576;88085,8;246352,15;67,85;0,04
Kammerstein;Landkreis Roth;4,92929E+15;1,10624E+16;;0;very low;A+;3631;0,6587;143498,89;217860;60;0,04
Kammerstein;Landkreis Roth;4,93529E+15;1,09878E+14;;0;very low;A;3631;0,3455;105517,92;305379,57;84,1;0,04
Kammerstein;Landkreis Roth;4,93483E+14;1,10288E+16;;0;very low;A;3631;0,4904;299224,57;610137,85;168,04;0,04
Kammerstein;Landkreis Roth;4,93703E+15;1,1007E+16;;0;very low;H;3631;0,4427;96450,74;217860;60;0,04
Kammerstein;Landkreis Roth;4,93192E+15;1,09851E+14;;0;very low;E;3631;0,3318;239358,72;721411,27;198,68;0,04
Kammerstein;Landkreis Roth;4,93292E+15;1,10536E+16;;0;very low;E;3631;0,1628;173978,48;1068474,9;294,26;0,04
Kammerstein;Landkreis Roth;4,92825E+15;1,09513E+15;;0;very low;C;3631;0,2113;177132,48;838312,96;230,88;0,04
Kammerstein;Landkreis Roth;4,9307E+15;1,10545E+16;;0;very low;F;3631;0,3547;77275,7;217860;60;0,04
Kammerstein;Landkreis Roth;4,93187E+14;1,10463E+16;;0;very low;F;3631;0,1221;119082,72;975267,96;268,59;0,04
Kammerstein;Landkreis Roth;4,92963E+15;1,09207E+16;;0;very low;F;3631;0,4748;152771,96;321741,71;88,61;0,04
Kammerstein;Landkreis Roth;4,9368E+15;1,10078E+16;;0;very low;A+;3631;0,6667;155680,24;233512,49;64,31;0,04
Kammerstein;Landkreis Roth;4,92982E+16;1,0945E+16;;0;very low;C;3631;0,581;155226,61;267179,2;73,58;0,04
Kammerstein;Landkreis Roth;4,92959E+15;1,09644E+15;;0;very low;G;3631;0,5261;203147,08;386164,36;106,35;0,04
Kammerstein;Landkreis Roth;4,93264E+15;1,09337E+14;;0;very low;B;3631;0,4714;102707,28;217860;60;0,04
Kammerstein;Landkreis Roth;4,93203E+16;1,10574E+16;;0;very low;H;3631;0,2981;281807,2;945456,79;260,38;0,04
Kammerstein;Landkreis Roth;4,93495E+15;1,09851E+16;;0;very low;D;3631;0,2401;183648,91;764918,75;210,66;0,04
Kammerstein;Landkreis Roth;4,93154E+16;1,10685E+16;;0;very low;E;3631;0,5287;168432,36;318579,39;87,74;0,04
Kammerstein;Landkreis Roth;4,92691E+15;1,09637E+16;;0;very low;D;3631;0,3868;85622,53;221372,29;60,97;0,04
Kammerstein;Landkreis Roth;4,93255E+15;1,0934E+16;;0;very low;F;3631;0,5784;126018,39;217860;60;0,04
Kammerstein;Landkreis Roth;4,92956E+15;1,09685E+16;;0;very low;G;3631;0,7004;152582,29;217860;60;0,04
Kammerstein;Landkreis Roth;4,92767E+15;1,0965E+16;;0;very low;A+;3631;0,3858;84053,08;217860;60;0,04
Kammerstein;Landkreis Roth;4,93013E+15;1,09291E+15;;0;very low;C;3631;0,5294;187401,46;353976,08;97,49;0,04
Kammerstein;Landkreis Roth;4,93177E+15;1,09407E+16;;0;very low;C;3631;0,2459;150283,45;611153,23;168,32;0,04
Kammerstein;Landkreis Roth;4,92871E+15;1,0948E+16;;0;very low;C;3631;0,6946;217118,44;312572,71;86,08;0,04
Kammerstein;Landkreis Roth;4,93173E+15;1,09832E+16;;0;very low;E;3631;0,1403;63275,67;450876,15;124,17;0,04
Kammerstein;Landkreis Roth;4,92926E+15;1,09557E+15;;0;very low;C;3631;0,226;137927,09;610388,5;168,1;0,04
Kammerstein;Landkreis Roth;4,93397E+15;1,10136E+16;;0;very low;F;3631;0,0741;137644,71;1856666,54;511,34;0,04
Kammerstein;Landkreis Roth;4,93656E+15;1,10286E+16;;0;very low;A+;3631;0,5749;125243,64;217860;60;0,04
Kammerstein;Landkreis Roth;4,92849E+14;1,0913E+16;;0;very low;E;3631;0,2929;231256,89;789587,75;217,46;0,04
Kammerstein;Landkreis Roth;4,92888E+15;1,09876E+16;;0;very low;C;3631;0,4382;168411,12;384331,42;105,85;0,04
Kammerstein;Landkreis Roth;4,92935E+15;1,10865E+16;;0;very low;E;3631;0,5693;147113;258424,95;71,17;0,04
Kammerstein;Landkreis Roth;4,93451E+14;1,09955E+15;;0;very low;A;3631;0,6904;150404,25;217860;60;0,04
Kammerstein;Landkreis Roth;4,9304E+15;1,10703E+16;;0;very low;H;3631;0,4521;117163,8;259168,58;71,38;0,04
Kammerstein;Landkreis Roth;4,93297E+14;1,09954E+16;;0;very low;E;3631;0,4955;107941,89;217860;60;0,04
Kammerstein;Landkreis Roth;4,92852E+15;1,09713E+16;;0;very low;F;3631;0,6658;145060,72;217860;60;0,04
Kammerstein;Landkreis Roth;4,92811E+15;1,09609E+15;;0;very low;A;3631;0,3936;114060,25;289807,41;79,81;0,04
Kammerstein;Landkreis Roth;4,92865E+16;1,10623E+16;;0;very low;G;3631;0,706;153813,07;217860;60;0,04
Kammerstein;Landkreis Roth;4,93497E+15;1,10239E+16;;0;very low;D;3631;0,646;244773,9;378923,65;104,36;0,04
Kammerstein;Landkreis Roth;4,9356E+15;1,09926E+15;;0;very low;G;3631;0,3715;80937,17;217860;60;0,04
Kammerstein;Landkreis Roth;4,93512E+14;1,09744E+16;;0;very low;G;3631;0,7108;154850,27;217860;60;0,04
Kammerstein;Landkreis Roth;4,92708E+15;1,09509E+16;;0;very low;F;3631;0,1927;82196,8;426533,79;117,47;0,04
Kammerstein;Landkreis Roth;4,92941E+14;1,10689E+16;;0;very low;F;3631;0,3515;125701,85;357592,53;98,48;0,04
Kammerstein;Landkreis Roth;4,93027E+15;1,09507E+16;;0;very low;G;3631;0,1219;68466,4;561649,63;154,68;0,04
Kammerstein;Landkreis Roth;4,93627E+15;1,10331E+16;;0;very low;F;3631;0,3729;96891,72;259835,06;71,56;0,04
Kammerstein;Landkreis Roth;4,92963E+15;1,09629E+14;;0;very low;C;3631;0,2021;60535,68;299489,87;82,48;0,04
Kammerstein;Landkreis Roth;4,9269E+16;1,09673E+16;;0;very low;D;3631;0,7148;155716,39;217860;60;0,04
Kammerstein;Landkreis Roth;4,93157E+15;1,09299E+16;;0;very low;F;3631;0,7025;153045,03;217860;60;0,04
Kammerstein;Landkreis Roth;4,93152E+15;1,1027E+16;;0;very low;H;3631;0,4742;189425,88;399468,11;110,02;0,04
Kammerstein;Landkreis Roth;4,92891E+15;1,09147E+16;;0;very low;A;3631;0,5395;196781,83;364777,45;100,46;0,04
Kammerstein;Landkreis Roth;4,92754E+15;1,09072E+15;;0;very low;D;3631;0,7035;153260,27;217860;60;0,04
Kammerstein;Landkreis Roth;4,92958E+15;1,09745E+16;;0;very low;E;3631;0,4216;126659,98;300461,39;82,75;0,04
Kammerstein;Landkreis Roth;4,93596E+15;1,10351E+16;;0;very low;E;3631;0,4247;92529,88;217860;60;0,04
Kammerstein;Landkreis Roth;4,93412E+14;1,09962E+16;;0;very low;E;3631;0,6886;217919,93;316467,16;87,16;0,04
Kammerstein;Landkreis Roth;4,93038E+15;1,09919E+15;;0;very low;E;3631;0,18;117684,41;653882,68;180,08;0,04
Kammerstein;Landkreis Roth;4,93461E+15;1,10081E+16;;0;very low;A;3631;0,514;111976,82;217860;60;0,04
Kammerstein;Landkreis Roth;4,93352E+16;1,10459E+16;;0;very low;A;3631;0,5297;115406,97;217860;60;0,04
Kammerstein;Landkreis Roth;4,93285E+15;1,10156E+15;;0;very low;A+;3631;0,4298;93633,52;217860;60;0,04
Kammerstein;Landkreis Roth;4,92886E+15;1,09757E+16;;0;very low;A+;3631;0,454;119319,97;262827,87;72,38;0,04
Kammerstein;Landkreis Roth;4,93119E+15;1,09316E+15;;0;very low;C;3631;0,5552;149598,54;269454,78;74,21;0,04
Kammerstein;Landkreis Roth;4,92725E+15;1,09061E+15;;0;very low;B;3631;0,1266;122823,48;970033,1;267,15;0,04
Kammerstein;Landkreis Roth;4,92704E+15;1,09453E+16;;0;very low;A;3631;0,688;149897,47;217860;60;0,04
Kammerstein;Landkreis Roth;4,93017E+15;1,09304E+16;;0;very low;G;3631;0,6787;147856,25;217860;60;0,04
Kammerstein;Landkreis Roth;4,93534E+15;1,0999E+16;;0;very low;H;3631;0,711;154900,4;217860;60;0,04
Kammerstein;Landkreis Roth;4,92987E+14;1,09117E+16;;0;very low;C;3631;0,4277;93185,36;217860;60;0,04
Kammerstein;Landkreis Roth;4,92946E+15;1,09297E+16;;0;very low;E;3631;0,2629;95775,43;364302,14;100,33;0,04
Kammerstein;Landkreis Roth;4,93232E+14;1,09399E+16;;0;very low;G;3631;0,51;133001,57;260790,23;71,82;0,04
Kammerstein;Landkreis Roth;4,93386E+15;1,09962E+16;;0;very low;E;3631;0,5271;114837,83;217860;60;0,04
Kammerstein;Landkreis Roth;4,9327E+16;1,09386E+16;;0;very low;G;3631;0,3421;108963,99;318483,69;87,71;0,04
Kammerstein;Landkreis Roth;4,93088E+15;1,09938E+16;;0;very low;A;3631;0,3454;104303,06;301937,26;83,16;0,04
Kammerstein;Landkreis Roth;4,93127E+16;1,10488E+16;;0;very low;E;3631;0,6699;192648;287563,86;79,2;0,04
Kammerstein;Landkreis Roth;4,9322E+14;1,09777E+16;;0;very low;C;3631;0,4653;105826,4;227414,62;62,63;0,04
Kammerstein;Landkreis Roth;4,93358E+15;1,10412E+15;;0;very low;E;3631;0,2648;142426,64;537880,2;148,14;0,04
Kammerstein;Landkreis Roth;4,92825E+15;1,09561E+16;;0;very low;E;3631;0,6427;154676,27;240657,9;66,28;0,04
Kammerstein;Landkreis Roth;4,92796E+15;1,1073E+16;;0;very low;C;3631;0,5167;334784,68;647958,58;178,45;0,04
Kammerstein;Landkreis Roth;4,92972E+15;1,10128E+16;;0;very low;E;3631;0,5315;186994,24;351809,14;96,89;0,04
Kammerstein;Landkreis Roth;4,93603E+15;1,10191E+16;;0;very low;H;3631;0,6916;150666,06;217860;60;0,04
Kammerstein;Landkreis Roth;4,93231E+15;1,09391E+16;;0;very low;F;3631;0,4876;176975,75;362969,69;99,96;0,04
Rednitzhembach;Landkreis Roth;4,93123E+14;1,10787E+16;;0;very low;H;3631;0,7053;153661,31;217860;60;0,04
Rednitzhembach;Landkreis Roth;4,92906E+16;1,09254E+16;;0;very low;G;3631;0,1173;338300,14;2884932,16;794,53;0,04
Rednitzhembach;Landkreis Roth;4,93289E+15;1,09909E+16;;0;very low;E;3631;0,5717;239313,16;418568,26;115,28;0,04
Rednitzhembach;Landkreis Roth;4,92746E+16;1,09253E+16;;0;very low;G;3631;0,3157;103968,97;329370,85;90,71;0,04
Rednitzhembach;Landkreis Roth;4,93482E+15;1,10067E+16;;0;very low;B;3631;0,5168;112586,86;217860;60;0,04
Rednitzhembach;Landkreis Roth;4,92961E+14;1,09669E+14;;0;very low;E;3631;0,5982;130319,45;217860;60;0,04
Rednitzhembach;Landkreis Roth;4,92967E+15;1,10646E+16;;0;very low;E;3631;0,187;161235,25;862137,55;237,44;0,04
Rednitzhembach;Landkreis Roth;4,92644E+15;1,09507E+16;;0;very low;C;3631;0,4783;184554,32;385870,65;106,27;0,04
Rednitzhembach;Landkreis Roth;4,92688E+14;1,09462E+16;;0;very low;G;3631;0,5817;126730,23;217860;60;0,04
Rednitzhembach;Landkreis Roth;4,93158E+15;1,10777E+15;;0;very low;G;3631;0,3599;159542,97;443308,74;122,09;0,04
Rednitzhembach;Landkreis Roth;4,92784E+15;1,10614E+16;;0;very low;F;3631;0,6977;152010,95;217860;60;0,04
Rednitzhembach;Landkreis Roth;4,93121E+15;1,10506E+15;;0;very low;A;3631;0,5148;165938,17;322364,45;88,78;0,04
Rednitzhembach;Landkreis Roth;4,93314E+15;1,1042E+16;;0;very low;E;3631;0,622;135503,61;217860;60;0,04
Schwabach;;4,93429E+16;1,10102E+16;;0;very low;G;4031;0,5203;125836,67;241860;60;0,04
Schwabach;;4,9311E+15;1,10178E+16;;0;very low;D;4031;0,2479;63353,81;255550,85;63,4;0,04
Schwabach;;4,93098E+15;1,10328E+14;;0;very low;D;4031;0,5709;138078,91;241860;60;0,04
Schwabach;;4,93653E+15;1,09951E+16;;0;very low;D;4031;0,1234;264508,27;2143323,94;531,71;0,04
Schwabach;;4,92721E+15;1,09638E+16;;0;very low;G;4031;0,4722;114212,79;241860;60;0,04
Schwabach;;4,93139E+15;1,09528E+16;;0;very low;D;4031;0,2381;155669,73;653811,79;162,2;0,04
Schwabach;;4,93516E+16;1,10216E+15;;0;very low;F;4031;0,4298;103962,83;241860;60;0,04
Schwabach;;4,93188E+15;1,10812E+16;;0;very low;C;4031;0,3961;95801,5;241860;60;0,04
Schwabach;;4,93463E+15;1,1015E+16;;0;very low;B;4031;0,4077;133872,26;328392,68;81,47;0,04
Schwabach;;4,93528E+15;1,10369E+16;;0;very low;E;4031;0,6616;160026,19;241860;60;0,04
Schwabach;;4,93537E+15;1,09784E+16;;0;very low;B;4031;0,1037;40286,9;388627,74;96,41;0,04
Schwabach;;4,93055E+15;1,10423E+16;;0;very low;F;4031;0,6343;197189,12;310880,17;77,12;0,04
